scenario_id,primary_tag,overpass,has_traffic_light,signalized_intersection,unsignalized_intersection,lane_freeway_ratio,lane_surface_ratio,is_freeway_dominant,lane_total,lane_multi_entry_count,lane_multi_exit_count,lane_branching_count
sd_waymo_v1.2_ebaf7ce728897640.pkl,intersection,False,False,False,True,0.0,1.0,False,101,20,21,29
sd_waymo_v1.2_4492226c507e3c3.pkl,intersection,False,False,False,True,0.0,1.0,False,76,18,16,14
sd_waymo_v1.2_28a0d572e637cda3.pkl,intersection,False,False,False,True,0.0,0.8850574712643678,False,87,18,18,13
sd_waymo_v1.2_acac6fd2c48fdc23.pkl,intersection,False,False,False,True,0.0,0.9035087719298246,False,114,18,21,17
sd_waymo_v1.2_8e0bd84e00c5fe8a.pkl,intersection,False,False,False,True,0.0,0.8651685393258427,False,89,16,14,25
sd_waymo_v1.2_a910ec08b3468797.pkl,intersection,False,False,False,True,0.0,0.8536585365853658,False,41,9,9,4
sd_waymo_v1.2_74bfc72e48c5482d.pkl,intersection,False,False,False,True,0.0,0.8840579710144928,False,69,14,15,17
sd_waymo_v1.2_a79f3c9f6dc9b99e.pkl,overpass,True,False,False,True,0.5769230769230769,0.4230769230769231,True,26,1,1,1
sd_waymo_v1.2_7229e070a1ad1e68.pkl,intersection,False,False,False,True,0.0,0.8297872340425532,False,94,15,16,14
sd_waymo_v1.2_e66753766ed4c5ca.pkl,overpass,True,False,False,True,0.47540983606557374,0.5245901639344263,False,61,4,4,3
sd_waymo_v1.2_b94adb4d0b1e8cfd.pkl,intersection,False,False,False,True,0.0,0.7948717948717948,False,117,15,11,19
sd_waymo_v1.2_7138192178387d47.pkl,overpass,True,False,False,True,0.7708333333333334,0.22916666666666666,True,48,3,2,1
sd_waymo_v1.2_77fcc94d730de9f3.pkl,intersection,False,False,False,True,0.0,0.9390862944162437,False,197,34,34,38
sd_waymo_v1.2_7e697163f414229.pkl,intersection,False,False,False,True,0.0,1.0,False,68,10,9,11
sd_waymo_v1.2_7a54fd19967b3942.pkl,intersection,False,False,False,True,0.0,0.8426966292134831,False,89,13,13,16
sd_waymo_v1.2_8da6d89f0941513b.pkl,intersection,False,False,False,True,0.0,0.9733333333333334,False,75,15,12,11
sd_waymo_v1.2_469213066d37224b.pkl,intersection,False,False,False,True,0.0,0.9187817258883249,False,197,37,34,39
sd_waymo_v1.2_7ef35727f3ca0eac.pkl,intersection,False,False,False,True,0.0,0.8695652173913043,False,115,17,15,24
sd_waymo_v1.2_ffcc76e4a42a2262.pkl,overpass,True,False,False,True,0.4444444444444444,0.5555555555555556,False,36,6,6,3
sd_waymo_v1.2_2dbe118c0651a20c.pkl,overpass,True,False,False,True,0.7540983606557377,0.2459016393442623,True,61,2,1,3
sd_waymo_v1.2_968516ed51a12cb6.pkl,intersection,False,False,False,True,0.0,0.8615384615384616,False,65,15,15,8
sd_waymo_v1.2_54b3cac73bc327.pkl,intersection,False,False,False,True,0.0,0.9017857142857143,False,112,16,17,15
sd_waymo_v1.2_810e636b39bb09db.pkl,intersection,False,False,False,True,0.0,0.8651685393258427,False,89,16,14,25
sd_waymo_v1.2_b7804566fbfe2923.pkl,intersection,False,False,False,True,0.0,0.9409722222222222,False,288,69,63,66
sd_waymo_v1.2_e198c45ebaabca61.pkl,intersection,False,False,False,True,0.0,0.9310344827586207,False,87,14,12,18
sd_waymo_v1.2_732710548d56f488.pkl,overpass,True,False,False,True,0.7619047619047619,0.23809523809523808,True,42,3,3,2
sd_waymo_v1.2_7320f86daa59e91b.pkl,overpass,True,False,False,True,0.40816326530612246,0.5918367346938775,False,49,6,7,6
sd_waymo_v1.2_7c3b683290cf37bd.pkl,overpass,True,False,False,True,0.4594594594594595,0.5405405405405406,False,37,6,6,3
sd_waymo_v1.2_ca841cf229bed72a.pkl,intersection,False,False,False,True,0.0,0.9324324324324325,False,444,93,75,108
sd_waymo_v1.2_64fb0a891064cae3.pkl,intersection,False,False,False,True,0.0,1.0,False,83,13,10,13
sd_waymo_v1.2_19c4d7abfe777671.pkl,overpass,True,False,False,True,0.4146341463414634,0.43902439024390244,False,41,2,1,2
sd_waymo_v1.2_e56bd4436f99ac9c.pkl,intersection,False,False,False,True,0.0,1.0,False,181,36,34,33
sd_waymo_v1.2_1df4ba4519345108.pkl,intersection,False,False,False,True,0.0,0.9512195121951219,False,164,29,30,35
sd_waymo_v1.2_982592f43405ae08.pkl,intersection,False,False,False,True,0.0,0.9279661016949152,False,236,46,48,39
sd_waymo_v1.2_5a1a82c06ad555e6.pkl,intersection,False,False,False,True,0.0,1.0,False,45,12,12,8
sd_waymo_v1.2_c3be4af1aef8a3eb.pkl,intersection,False,False,False,True,0.0,0.7833333333333333,False,60,6,8,3
sd_waymo_v1.2_682b403f32ae791d.pkl,intersection,False,False,False,True,0.0,0.8297872340425532,False,94,15,16,14
sd_waymo_v1.2_54c1c7f5242d4dd0.pkl,intersection,False,False,False,True,0.0,0.9377510040160643,False,498,111,96,122
sd_waymo_v1.2_83c68a5d9d50fc70.pkl,intersection,False,False,False,True,0.0,0.9252336448598131,False,107,17,17,16
sd_waymo_v1.2_40d044264f531612.pkl,intersection,False,False,False,True,0.0,1.0,False,80,17,17,20
sd_waymo_v1.2_afdca054e79d8356.pkl,intersection,False,False,False,True,0.0,1.0,False,48,12,12,6
sd_waymo_v1.2_3677dc48cac2d4ac.pkl,overpass,True,False,False,True,0.9473684210526315,0.05263157894736842,True,38,3,1,3
sd_waymo_v1.2_e0ce8836ef8c041d.pkl,intersection,False,False,False,True,0.0,0.8214285714285714,False,56,10,10,12
sd_waymo_v1.2_75276778631d4916.pkl,intersection,False,False,False,True,0.0,1.0,False,50,10,10,10
sd_waymo_v1.2_3adc18181d707f11.pkl,intersection,False,False,False,True,0.0,0.9344262295081968,False,183,34,36,32
sd_waymo_v1.2_8cdea112e75749f4.pkl,overpass,True,False,False,True,0.7608695652173914,0.2391304347826087,True,46,2,2,0
sd_waymo_v1.2_9f0f43887d2cb403.pkl,intersection,False,False,False,True,0.0,0.913312693498452,False,323,71,63,76
sd_waymo_v1.2_ce878829a223821a.pkl,intersection,False,False,False,True,0.0,1.0,False,263,53,47,64
sd_waymo_v1.2_a936ea791b61b487.pkl,intersection,False,False,False,True,0.0,0.9119170984455959,False,193,40,38,41
sd_waymo_v1.2_ef0a4af6e7b41ebb.pkl,intersection,False,False,False,True,0.0,0.91,False,200,41,36,40
sd_waymo_v1.2_3dfd7cf1c131d2e5.pkl,intersection,False,False,False,True,0.0,1.0,False,74,18,16,12
sd_waymo_v1.2_3212552649a27508.pkl,intersection,False,False,False,True,0.0,0.9711286089238845,False,381,86,86,85
sd_waymo_v1.2_d5c254a4ff579311.pkl,intersection,False,False,False,True,0.0,0.937984496124031,False,129,25,24,26
sd_waymo_v1.2_20c63adc106e0cf0.pkl,intersection,False,False,False,True,0.0,0.9836065573770492,False,122,28,26,33
